english,persian
length,طول
mass,وزن
pressure,فشار
volume,حجم
temperature,دما
area,مساحت
speed,سرعت
force,نیرو
energy,انرژی
power,توان
torque,گشتاور
time,زمان
density,چگالی
frequency,فرکانس
degree,زاویه
acceleration,شتاب
debi,شارش جرمی
debi-v,شارش حجمی
data-storage,ذخیره دیجیتال
data-transfer,انتقال داده
wildcard,عام
