length,متر,m,سانتیمتر,cm,اینچ,inch,میلیمتر,mm,فوت,پا-فیت-foot-feet,کیلومتر,km,مایل,mile,یارد,yard,مایل دریایی,nautical mile,دسی متر,dm,میکرون,micron,میکرومتر,μm,نانومتر,nm,آنگستروم,Angstrom,پیکومتر,pm,فمتومتر,,ذرع,,گز,,وجب,,فرسنگ,,فرسخ,,فرسنگ شرعی,,فرسخ شرعی,,فاتوم,ftm,زنجیر,chain,فرلانگ,fur,میل,,ثو,xu,سال نوری,light year,ثانیه نوری,light second,واحد نجومی,au,پارسک,pc,شعاع خورشیدی,solar radius,,,,,,,,,,,,,,
time,ثانیه,s,کیلو ثانیه,ks,میلی ثانیه,ms,میکرو ثانیه,μs,نانو ثانیه,ns,پیکو ثانیه,ps,دقیقه,min,ساعت,h,روز,Day,هفته,Week,ماه,Month,ماه قمری,,سال,Year,سال قمری,,دهه,Decade,قرن,Century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
density,تن بر متر مکعب,t/m³,کیلوگرم بر متر مکعب,kg/m³,کیلوگرم بر لیتر,kg/L,کیلوگرم بر دسی متر مکعب,kg/dm³,گرم بر متر مکعب,g/m³,گرم بر لیتر,g/L,گرم بر سانتیمتر مکعب,g/cm³,گرم بر میلی لیتر,g/mL,گرم بر میلی متر مکعب,g/mm³,میلی گرم بر لیتر,mg/L,میلی گرم بر سانتیمتر مکعب,mg/cm³,میلی گرم بر میلی لیتر,mg/mL,میلی گرم بر میلی متر مکعب,mg/mm³,پوند بر فوت مکعب,lb/ft³,پوند بر اینچ مکعب,lb/in³,پوند بر یارد مکعب,lb/yd³,اونس بر فوت مکعب,oz/ft³,اونس بر اینچ مکعب,oz/in³,اسلاگ بر فوت مکعب,slug/ft³,پوند بر گالن آمریکایی,lb/gal,پوند بر بوشل آمریکایی,,پوند بر گالن انگلیسی,,گرم بر سی سی,g/cc,میلی گرم بر سی سی,mg/cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequency,هرتز,Hz,دور بر ثانیه,rps,دور بر دقیقه,rpm,دور بر ساعت,rph,میلی هرتز,mHz,کیلو هرتز,kHz,مگا هرتز,MHz,گیگا هرتز,GHz,ترا هرتز,THz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degree,رادیان,Rad,درجه,Deg,گراد,Grad,ثانیه قوسی,arc second,دقیقه قوسی,arc minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acceleration,متر بر مجذور ثانیه,,کیلو متر بر مجذور ثانیه,,سانتی متر بر مجذور ثانیه,,فوت بر مجذور ثانیه,,مایل بر مجذور ثانیه,,اینچ بر مجذور ثانیه,,گال,Gal,میلی گال,mGal,میکرو گال,μGal,نات بر ثانیه,knot/s,کیلومتر بر ساعت بر ثانیه,,مایل بر ساعت بر ثانیه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debi,تن بر ثانیه,,تن بر دقیقه,,تن بر ساعت,,تن بر روز,,کیلوگرم بر ثانیه,,کیلوگرم بر دقیقه,,کیلوگرم بر ساعت,,کیلوگرم بر روز,,گرم بر ثانیه,,گرم بر دقیقه,,گرم بر ساعت,,گرم بر روز,,میلی گرم بر ثانیه,,میلی گرم بر دقیقه,,میلی گرم بر ساعت,,میلی گرم بر روز,,پوند بر ثانیه,,پوند بر دقیقه,,پوند بر ساعت,,پوند بر روز,,اونس بر ثانیه,,اونس بر دقیقه,,اونس بر ساعت,,اونس بر روز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debi-v,متر مکعب بر ثانیه,,متر مکعب بر دقیقه,,متر مکعب بر ساعت,,متر مکعب بر روز,,لیتر بر دقیقه,,لیتر بر ثانیه,,لیتر بر ساعت,,لیتر بر روز,,میلی لیتر,,سی سی بر ثانیه,,میلی لیتر,,سی سی بر دقیقه,,میلی لیتر,,سی سی بر ساعت,,میلی لیتر,,سی سی بر روز,,سانتیمتر مکعب بر ثانیه,,سانتیمتر مکعب بر دقیقه,,سانتیمتر مکعب بر ساعت,,سانتیمتر مکعب بر روز,,اینچ مکعب بر ثانیه,,اینچ مکعب بر دقیقه,,اینچ مکعب بر ساعت,,اینچ مکعب بر روز,,فوت مکعب بر ثانیه,,فوت مکعب بر دقیقه,,فوت مکعب بر ساعت,,فوت مکعب بر روز,,گالن آمریکایی بر ثانیه,,گالن آمریکایی بر دقیقه,,گالن آمریکایی بر ساعت,,گالن آمریکایی بر روز,,,,,,,,,,,,,,,,,
data-storage,بیت,Bit,کیلو بیت,kb,کیبی بیت,Kib,مگا بیت,Mb,مبی بیت,Mib,گیگا بیت,Gb,گیبی بیت,Gib,ترا بیت,Tb,تبی بیت,Tib,پتا بیت,Pb,پبی بیت,Pib,بایت,Byte,کیلو بایت,kB,کیبی بایت,KiB,مگا بایت,MB,مبی بایت,MiB,گیگا بایت,GB,گیبی بایت,GiB,ترا بایت,TB,تبی بایت,TiB,پتا بایت,PB,پبی بایت,PiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-transfer,بیت برثانیه,Bit/s,کیلو بیت برثانیه,kb/s,کیبی بیت برثانیه,Kib/s,مگا بیت برثانیه,Mb/s,مبی بیت برثانیه,Mib/s,گیگا بیت برثانیه,Gb/s,گیبی بیت برثانیه,Gib/s,ترا بیت برثانیه,Tb/s,تبی بیت برثانیه,Tib/s,پتا بیت برثانیه,Pb/s,پبی بیت برثانیه,Pib/s,بایت برثانیه,Byte/s,کیلو بایت برثانیه,kB/s,کیبی بایت برثانیه,KiB/s,مگا بایت برثانیه,MB/s,مبی بایت برثانیه,MiB/s,گیگا بایت برثانیه,GB/s,گیبی بایت برثانیه,GiB/s,ترا بایت برثانیه,TB/s,تبی بایت برثانیه,TiB/s,بیت بر دقیقه,Bit/min,کیلو بیت بر دقیقه,kb/min,مگا بیت بر دقیقه,Mb/min,گیگا بیت بر دقیقه,Gb/min,ترا بیت بر دقیقه,Tb/min,بایت بر دقیقه,Byte/min,کیلو بایت بر دقیقه,kB/min,مگا بایت بر دقیقه,MB/min,گیگا بایت بر دقیقه,GB/min,ترا بایت بر دقیقه,TB/min,بیت بر ساعت,Bit/h,کیلو بیت بر ساعت,kb/h,مگا بیت بر ساعت,Mb/h,گیگا بیت بر ساعت,Gb/h,ترا بیت بر ساعت,Tb/h,بایت بر ساعت,Byte/h,کیلو بایت بر ساعت,kB/h,مگا بایت بر ساعت,MB/h,گیگا بایت بر ساعت,GB/h,ترا بایت بر ساعت,TB/h
ratio,درصد,٪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wildcard,واحد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
